Location;Climat
Uluru;aride
Woomera;aride
Adelaide;mediterraneen
Albany;mediterraneen
MountGambier;mediterraneen
Nuriootpa;mediterraneen
PearceRAAF;mediterraneen
Perth;mediterraneen
PerthAirport;mediterraneen
Portland;mediterraneen
Walpole;mediterraneen
Witchcliffe;mediterraneen
SalmonGums;mediterraneen
AliceSprings;semi_aride
Cobar;semi_aride
Mildura;semi_aride
MountGinini;montagnard
CoffsHarbour;subtropical
Katherine;subtropical
Tuggeranong;subtropical
BadgerysCreek;subtropical
Brisbane;subtropical
GoldCoast;subtropical
Moree;subtropical
Newcastle;subtropical
NorahHead;subtropical
NorfolkIsland;subtropical
Penrith;subtropical
Sydney;subtropical
SydneyAirport;subtropical
Williamtown;subtropical
Albury;tempere
Ballarat;tempere
Canberra;tempere
Dartmoor;tempere
WaggaWagga;tempere
Hobart;tempere
Launceston;tempere
Melbourne;tempere
MelbourneAirport;tempere
Richmond;tempere
Sale;tempere
Watsonia;tempere
Wollongong;tempere
Bendigo;tempere
Nhil;tempere
Townsville;tropical
Cairns;tropical
Darwin;tropical
